GO:0003008,GO:0005576,GO:0005681,GO:0005737,GO:0005829,GO:0006109,GO:0009887,GO:0016337,GO:0030099,GO:0031224,GO:0043234,GO:0044428,GO:0044459,GO:0048523,GO:1902532,degree,bridgeness
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,60,0.000805000017863
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,4.70000013592653E-05
0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,345,0.25857201218605
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,9,4.19999996665865E-05
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,7.99999997980194E-06
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,230,0.182281002402306
1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,24,0.001657000044361
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,130,0.027421999722719
0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,100,0.137599006295204
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,44,0.000670999987051
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,9,1.40000001920271E-05
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,224,0.051309000700712
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,32,0.000608999980614
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3.99999998990097E-06
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,88,0.037716001272202
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,20,0.010842000134289
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,16,0.000123999998323
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,14,0.001388999982737
1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,290,0.101775996387005
1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,79,1.83433794975281
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,34,0.00124999997206
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4.80000016978011E-05
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,32,0.000101999998151
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,69,0.00039500001003
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,53,0.000243000002229
0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,63,0.004695000126958
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,9.99999997475243E-07
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,218,0.106164999306202
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0.001394000020809
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0.001110999961384
0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,201,0.127813994884491
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,19,0.000777999986894
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0.000441999989562
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0.032297000288963
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,20,4.70000013592653E-05
1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,2,0
1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,22,9.00000013643876E-05
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,90,0.107141003012657
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0.026027999818325
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,216,0.132430002093315
0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,21,2.99999992421363E-05
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2.40000008489005E-05
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,18,0.000384000013582
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.056106999516487
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,76,0.001533000031486
1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,177,0.020694000646472
0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,114,0.157914996147156
1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,265,0.085304997861385
